Filename,Algorithm,Cost,Optimal,Absolute Error,Relative Error (%),Time (s)
gr48.txt,Nearest Neighbor,6123.0,5046.0,1077.0,21.343638525564803,7.653236389160156e-05
gr48.txt,Christofides Solver,5717.0,5046.0,671.0,13.297661514070553,0.018997669219970703
pr439.txt,Nearest Neighbor,131056.90719999999,107217.0,23839.907199999987,22.235193299570017,0.004188060760498047
pr439.txt,Christofides Solver,119084.72409999999,107217.0,11867.724099999992,11.068882826417445,1.0766410827636719
rat575.txt,Nearest Neighbor,8442.332399999998,6773.0,1669.3323999999975,24.64686844825037,0.0073430538177490234
rat575.txt,Christofides Solver,7795.762699999993,6773.0,1022.762699999993,15.100586150893147,3.5998623371124268
dantzig42.txt,Nearest Neighbor,949.0,699.0,250.0,35.7653791130186,5.269050598144531e-05
dantzig42.txt,Christofides Solver,752.0,699.0,53.0,7.582260371959943,0.0046901702880859375
kroB100.txt,Nearest Neighbor,29154.9926,22141.0,7013.992600000001,31.678752540535665,0.00025010108947753906
kroB100.txt,Christofides Solver,23991.969900000007,22141.0,1850.9699000000073,8.359920057811333,0.020933866500854492
vm1084.txt,Nearest Neighbor,301469.22729999985,239297.0,62172.22729999985,25.981197967379387,0.027920961380004883
vm1084.txt,Christofides Solver,260833.06139999992,239297.0,21536.06139999992,8.999720598252347,9.860255479812622
eil51.txt,Nearest Neighbor,512.5935000000001,426.0,86.59350000000006,20.327112676056352,7.43865966796875e-05
eil51.txt,Christofides Solver,466.3412,426.0,40.341200000000015,9.469765258215967,0.005815029144287109
kroC100.txt,Nearest Neighbor,26284.041299999993,20749.0,5535.0412999999935,26.67618343052674,0.00025010108947753906
kroC100.txt,Christofides Solver,23578.010099999992,20749.0,2829.0100999999922,13.634440695937117,0.027817964553833008
pr144.txt,Nearest Neighbor,61565.72429999998,58537.0,3028.72429999998,5.174034029758921,0.00047469139099121094
pr144.txt,Christofides Solver,70205.46079999997,58537.0,11668.460799999972,19.933479337854642,0.017476797103881836
rat99.txt,Nearest Neighbor,1578.5154000000002,1211.0,367.5154000000002,30.34809248554915,0.00023603439331054688
rat99.txt,Christofides Solver,1365.6767000000002,1211.0,154.6767000000002,12.77264244426096,0.02266097068786621
rd100.txt,Nearest Neighbor,9898.730399999997,7910.0,1988.7303999999967,25.1419772439949,0.0002467632293701172
rd100.txt,Christofides Solver,8837.107800000003,7910.0,927.1078000000034,11.720705436156807,0.04010152816772461
st70.txt,Nearest Neighbor,804.7177999999999,675.0,129.7177999999999,19.217451851851834,0.00012755393981933594
st70.txt,Christofides Solver,750.2432000000001,675.0,75.24320000000012,11.147140740740758,0.015173196792602539
fl3795.txt,Nearest Neighbor,35894.12439999928,28772.0,7122.12439999928,24.753664673986098,0.3122217655181885
fl3795.txt,Christofides Solver,30856.95040000066,28772.0,2084.95040000066,7.246456276938204,276.25809836387634
pr76.txt,Nearest Neighbor,152861.92200000002,108159.0,44702.92200000002,41.330746401131684,0.0001633167266845703
pr76.txt,Christofides Solver,116272.90520000002,108159.0,8113.905200000023,7.501830823140028,0.010002851486206055
gr96.txt,Nearest Neighbor,65141.0,55209.0,9932.0,17.98982050028075,0.00026917457580566406
gr96.txt,Christofides Solver,60512.0,55209.0,5303.0,9.60531797351881,0.023528099060058594
u724.txt,Nearest Neighbor,55708.479200000096,41910.0,13798.479200000096,32.924073490813875,0.013016223907470703
u724.txt,Christofides Solver,47763.3215000001,41910.0,5853.3215000001,13.966407778573373,5.682854175567627
fl1400.txt,Nearest Neighbor,25844.575399999794,20127.0,5717.575399999794,28.407489442042007,0.041966915130615234
fl1400.txt,Christofides Solver,22159.08040000027,20127.0,2032.0804000002718,10.096290554977253,44.51827955245972
